row_id,odin_score,thr95,T,eps,실제_대분류,예측한_대분류,제목_내용
1188,0.1448,0.147216796875,100.0,0.0005,안전위생,OOD,"[회수]캐나다 Limson Canada Ltd., 포테이토 베리 존재로 냉동 채소믹스 회수 -최초 발표 일자 : 2023-06-21 (최신 업데이트 일자 : 2023-06-08)-유통지역 : 캐나다 Alberta-회수사 : Limson Canada Ltd.-제품 : 브랜드; 제품; 중량; 코드; UPCCanada Max Source; Mixed Vegetables - Wok Blend; 12 kg; 243044; 10617494001313-회수사유 : 포테이토 베리(potato berry) 존재-제품사진 : -"
1521,0.1453,0.147216796875,100.0,0.0005,영양건강,OOD,"미국 허쉬(사), 키세스, 초콜릿바 제품에 인공 첨가물 대신 진짜 바닐라 사용하기로 허쉬(사)는 이번 주 업체의 우유 초콜릿 허쉬 키세스와 바 제품에 인공 첨가물 대신 진짜 바닐라를 사용할 계획을 전했음. 이는 지난 2월, 'The Hershey Co.'가 더욱 간소화된 원료를 사용하겠다고 밝힌 이래 첫 움직임임. 많은 식품업체가 덜 가공된 식품에 대한 소비자 수요에 맞추기 위해 인공 착향료, 색소, 그리고 원료 사용을 중단해가고 있음. 소비자들은 앞으로 초콜렛 성분목록을 통해 바닐라 향을 내기 위해 사용된 인공 원료 '바닐린' 대신 '천연 향미'를 볼 수 있을 것임. 허쉬(사)는 몇 주 전에 인공 착향료를 뺀 초콜렛 제품 운송을 시작했다고 함.    "
982,0.1454,0.147216796875,100.0,0.0005,물리적 위해요소,OOD,"뉴질랜드, 'Pak'n Save'에서 구입한 'Ingham's' 닭고기에서 구더기 검출되어 조사 중 뉴질랜드 타우리코 팩엔세이브(Tauriko Pak'nSave)와 잉햄(Ingham's)은 한 소비자가 자신이 요리하고 먹은 닭고기에서 구더기를 발견했다고 주장한 사안에 대해 조사하고 있음. 소비자 ‘Andrew Morris-Vette’는 지난 수요일 오후 6시쯤 구더기를 발견했으며, 그는 그것이 타우랑가(Tauranga) 소재 타우리코 팩엔세이브에서 구입한 냉동 잉햄 허브 및 마늘 버터플라이 치킨이라고 밝혔음.  ‘Morris-Vette’는 자신이 느낀 역겨움과 설사 증상 등에 대해 업체 측으로 얘기하여 적절한 보상 조치를 원했으나 업체 담당자로부터 10달러만 환불 받은 것에 대해 불만을 표하고 있음.  이에 대해 팩엔세이브 타우리코 대변인은 이 문제가 처음 밝혀졌을 때, 고객이 조사를 위한 제품과 포장을 두고 가지 않으려 했기 때문에 불필요한 지연이 발생했으며, ""제품이 없으면 고객이나 공급업체, 팀의 만족도에 무슨 일이 일어났는지 확인할 수 없다.“고 말했음. 이와 함께 회사가 식품 안전 문제를 심각하게 받아들였으며 ""이 문제가 가능한 한 빨리 해결되기를 기대한다""고 말했음.  잉햄 대변인은 현재 회사가 이 사안에 대해 조사 중에 있으며 조사가 끝나기 전까지는 언급할 수 없을 것이라고 말했음."
1964,0.1454,0.147216796875,100.0,0.0005,화학적 위해요소,OOD,"미국 식품 제조업체 제네럴 밀스, 시리얼에 인공 착향료 저감화  미국 식품 제조업체인 '제네럴 밀스(General Mills)'는 22일(현지시간), 2017년까지 자사의 시리얼 제품 일체에서 인공 착향료와 색소를 점진적으로 중단해나가겠다고 밝혔음.  이는 타코벨, 피자헛, 패네라, 크래프트 푸드 그룹, 서브웨이처럼 인공 원료를 저감화시키겠다는 다짐한 식품 소매점들의 뒤를 이었음. 제네럴 밀스 시리얼 사업부 부장은 성명을 통해 라벨에서 알아보기 좋고 친숙한 원료를 원하는 소비자 의견에 계속해서 귀를 기울이고, 어른 아이할 것 없이 자사 시리얼을 즐기는데 머뭇거림이 없도록 대처하고 있다고 전했음.  이에 따라, 트릭스나 리즈 퍼프 같은 시리얼 제품은 앞으로 과일과 채소 즙, 천연 바닐라를 이용해 제조될 에정임. 트릭스의 경우, 공정에서 일부 색소를 뺄 계획임. 이 업체는 약 3년 전에 공법을 변경하기 시작했으며, 올 겨울 새 상품을 출시할 때 쯤엔 여섯가지 색소 중 마땅한 천연 대체품이 없는 청색과 녹색을 제외한 네가지 색소로 제품을 만들 예정임. "
205,0.1454,0.147216796875,100.0,0.0005,영양건강,OOD,"미국, 핏자국 있는 달걀이나 쌍란의 섭취는 안전한가? 달걀을 깨다보면, 가끔 껍질로부터 예전에 보지 못했던 것을 볼 수 있음. 달걀에서 빨간 점을 본 적이 있다면 말하고자 하는 것을 알 것임.가금과학 명예교수와 양계장 관련 책을 쓴 농업인과 대화를 나누었음. 그들은 달걀에서 일어나는 미스터리에 대해 설명할 것임.[핏자국]달걀노른자에서 작은 빨간 점을 본적이 있다면 당신은 수정란이라고 생각하겠지만 그렇지 않음.코네티컷 대학의 Michael Darre 명예교수는 ""핏자국은 달걀노른자가 닭의 난소로부터 나올 때 작은 찢어짐으로 인한 것이다.""라고 하였음.이러한 빨간 입자는 먹기에 안전한 것임.[고기자국]지역 생산자로부터 농장의 신선한 달걀을 골랐다면 달걀에 떠다니는 갈색 또는 붉은색의 점을 보았을 것임. 이는 암탉에서 달걀이 움직일 때 닭에서 찢어진 작은 조직임.이는 핏자국과 마찬가지로 먹어도 안전한 것임.[쌍란]쌍란은 현대 검란법 뿐만 아니라 일반적으로 특정 연령대의 닭에서만 생산되기 때문에 매우 드물게 발생함. Darre 명예교수는 ""영계나 노계로부터 더 많은 쌍란을 발견할 것이다.""라고 하였음.[어두운 노른자]달걀영양센터(Egg Nutrition Center)에 따르면, 노른자 색은 닭의 사료의 카로티노이드 함량에 따른 것임.연구에 따르면 어두운 색의 노른자, 방목(pasture-raised) 달걀은 일반적인 달걀에 비해 콜레스테롤이 적고 오메가3과 베타카로틴이 많아 좀 더 영양적 밀도가 높음.[이상한 껍질]달걀껍질의 색은 알을 낳은 암탉의 품종에 따른 것으로, 이는 영양가의 지표가 아님. 달걀껍질의 모양과 질감은 때때로 달라질 수 있음.집에서 닭을 기르거나 농장 가판대에서 구매할 때 이상한 모양의 달걀을 볼 수 있지만 이는 해로운 것이 아님. 까칠한 질감의 달걀은 산란 과정에서 부드럽게 처리되지 않은 칼슘 침전물임."
879,0.1455,0.147216796875,100.0,0.0005,영양건강,OOD,"호주 소비자단체 ‘초이스’, 살구씨 섭취 경고 호주 소비자단체 ‘초이스(CHOICE)’는 살구씨 섭취를 경고했음. '초이스'는 살구씨의 암 치료 효과는 그 근거가 없으며, 살구씨 섭취가 오히려 시안화물 중독을 일으킬 수 있다고 경고했음. ‘초이스(CHOICE)’는 호주뉴질랜드 식품기준청(FSANZ)이 살구씨 판매를 금지하려는 움직임을 지지하는 바임. 살구씨는 암 치료제로 크게 선전됨. 하지만 그것 대신 중독을 일으킬 수 있음. 돌팔이 의사들의 말과는 반대로, 살구씨에서 발견되는 아미그달린(amygdalin)이 암을 치료한다는 과학적 증거는 없음. 살구씨 제품 구입은 돈 낭비일 뿐만 아니라 건강을 심각한 위험에 빠뜨리는 것임. 이는 살구씨 섭취가 시안화물 중독을 야기하기 때문임. ‘초이스’의 대변인은 “살구씨를 소량 먹는 것은 괜찮다. 하지만 일부 판매업자들은 살구씨를 하루에 32개까지 먹도록 권장하면서 살구씨를 스낵으로 kg단위로 판매하고 있다. 이 지시사항을 따를 경우 사람들은 시안산 안전 수치보다 최대 940%를 더 섭취할 수 있다.”고 전했음.  호주 암 협의회는 살구씨가 암을 치료한다는 주장은 근거가 없다고 밝혔음. 호주뉴질랜드 식품기준청의 위해평가에서는 생살구씨 섭취가 급성 건강 및 안전 위험을 일으킬 수 있음이 확인됐음. ‘초이스’는 살구씨를 호주에서 쉽게 구할 수 있음을 확인함. 예비 조사에서 시드니의 보건식품 상점들과 많은 온라인 상점에서 살구씨를 판매하고 있었음. 그 중 많은 상점들은 살구씨 섭취가 암 환자에게 이롭다고 홍보했음. "
1703,0.1455,0.147216796875,100.0,0.0005,안전위생,OOD,"[회수]호주 Cathay Herbal Laboratories, 하수오(Fallopia multiflora) 함유 등재의약품 회수 * 호주 연방의료제품청 회수 데이터베이스: https://apps.tga.gov.au/Prod/sara/arn-entry.aspx - 회수조치 시행일자: 2020.12.10 - 회수사: Cathay Herbal Laboratories- 제품명: 하수오(Fallopia multiflora)를 함유한 모든 Cathay Herbal Laboratories 제품. (ARTG 11681, 11712, 11718, 42904, 50319, 125316, 125320, 140500 및 14050)- 회수사유: 호주 연방의료제품청(TGA)은 하수오 원료의 안전성을 검토하였으며, 하수오 함유 등재의약품의 안전성은 허용될 수 없다는 견해를 나타냄. 하수오는 심각한 간 손상과의 연관성이 확립되었음."
1485,0.1456,0.147216796875,100.0,0.0005,화학적 위해요소,OOD,"미국 크라프트사, 일부 슬라이스 치즈 제품에 인공 보존료 넣지 않기로 발표 미국 치즈제조업체 크라프트(Kraft)(사)는 당사가 생산하는 인기 슬라이스 치즈 제품에 인공 보존료를 넣지 않을 것이라 밝힘. 이번 결정은 'Kraft Singles(full-fat American)' 제품 및 'White American varieties' 제품군에 적용됨. 크라프트 측은 인공 보존료로 쓰인 소르빈산을 천연 곰팡이 저해물질인 나타마이신(natamycin)으로 대체될 것이라고 전함.  크라프트(사)의 이번 결정은 점점 더 많은 미국인들이 식품에 관심을 기울이고 천연 성분이 함유된 식품을 섭취하려는 움직임이 나타나는 상황에서 나온 것임. 이러한 움직임은 다수의 식품 제조업체들이 제품 성분을 변경하도록 유도해 왔음. "
551,0.1456,0.147216796875,100.0,0.0005,안전위생,OOD,"캐나다 젤로소 그룹, 10대 사망 사건 이후 카페인 첨가 주류 생산 중단 캐나다 퀘벡의 'FCKD UP' 카페인 주류 제조사 '젤로소 그룹(Geloso Group)'이 지난주 14세 소녀가 사망하자 해당 제품의 생산을 중단할 계획이라고 발표했음. 젤로소 그룹은 4일(현지시각), 직원들에게 'FCKD UP' 음료 생산을 즉시 중단토록 지시했음. 해당 음료의 알코올 함량은 11.9%임. 피해 소녀는 지난 1일, 학교 뒷편 하천에서 숨진 채 발견되었음. 경찰이 현재 음용 여부를 확인하고자 독성 검사 결과를 기다리는 중인 가운데 수사관들은 음료가 사인일 수 있다고 언급하였음. 퀘벡에 소재한 'Couche-Tard' 체인형 편의점은 2일, 음료를 판매하지 않겠다고 말했으며, 보건 전문가들은 젤로소 그룹이 음주의 영향력을 잘 모르는 10대들을 대상으로 마케팅을 했다고 비난하기도 했음."
1369,0.1456,0.147216796875,100.0,0.0005,안전위생,OOD,"영국 웨일스 카디프, 100마리 이상의 바퀴벌레 발견된 식당 과태료 처분 영국 웨일스 카디프 소재의 한 테이크아웃 카페에서 100여 마리의 바퀴벌레가 발견되어, 소유주 둘에게 각각 1,000파운드, 500파운드의 과태료가 부과되었음.  불시로 진행된 식품 위생 검사 과정에서 소유주 중 한 명이 카운터 및 곤충을 쓸어내는 것이 목격되기도 했음.  이들은 카디프 의회에 의해 기소된 후 450파운드의 비용을 지불하라는 명령도 받았는데, 이는 2019년 5월 의회 직원들이 샌드위치, 카레 요리, 구운 감자를 제공하는 카페를 정기 점검한 데 이은 것임. 주방 바닥에서 살충제 분말이 발견된 후 조사관이 정밀 검사를 실시했는데, 더 많은 곤충뿐 아니라 싱크대 밑에서 바퀴벌레 덫도 발견되었음. 동 카페는 바퀴벌레가 살모넬라균을 옮길 위험으로 인해 자발적으로 폐쇄했음."
371,0.1456,0.147216796875,100.0,0.0005,화학적 위해요소,OOD,"호주 멜버른, 살구씨 자가치료한 남성...시안화물 중독 증세 호주 멜버른에 거주하는 한 남성이 일명 '기적의 다이어트'라는 일시적인 유행을 맹신해 시선을 끌었음. 간단한 수술을 받으러 병원에 내원했던 이 남성에 대해 의료진은 비흡연자인 환자의 적혈구 중 산소가 낮다는 사실을 확인함. 환자와의 면담 끝에 예전에 전립선암을 앓았다가 회복했으며, 살구씨로 자가치료를 한 적이 있다는 사실을 확인했음.  이 남성은 살구씨 추출물이 암 재발을 막는다는 말을 들었다고 알프레도 병원의 알렉스 박사는 전했음. 2016년 초, 살구씨가 풍부한 영양소와 암을 물리치는 물질이 함유되었다면서 '슈퍼푸드'로 각광을 받았음. 이후 사실이 아닌 것으로 밝혀지고, 의료진들이 인체에서 유독 화학물질인 시안화물로 전환되는 아미그달린이 다량 함유되어 있다고 경고한 바 있음. 호주 식품안전 당국에 따르면, 하루에 살구씨를 두 개 이상 섭취하면 시안화물 안전수준을 초과할 수 있음. 이 남성은 살구씨 보충제인 '노보달린(Novodalin)을 매일 세 알씩 섭취했으며, 집에서 갈아서 먹기도 해 하루에 섭취하는 시안화물이 17mg을 초과했음.  이 남성은 혈액 검사에서 허용 기준의 25배가 넘는 시안화물이 검출되었음. 의료진은 생명에 이상이 없을만큼 섭취 가능한 시안화물 양이 얼마인지에 대한 검사가 이루어진 적이 없다고 언급했음. 실제 시안화물은 생명을 위협할 수 있으며, 그 효과도 잘 알려져 있지 않고, 살아있는 사람을 대상으로 한 기준 검사도 마련되어 있지 않은 실정임. 아울러, 살구씨 추출물이 암을 치료한다는 근거도 없음.  한편, 호주뉴질랜드 식품기준청(FSANZ)은 살구씨 식품을 판매하는 금지를 금지한 바 있으나 보충제 형태로는 건강식품 웹사이트를 통해 여전히 판매되고 있음. 이번 사례는 국제 동료 평가 저널인 BMJ 케이스 리포트(BMJ Case Reports)에 게재되었음.  (*) 연구전문 http://casereports.bmj.com/content/2017/bcr-2017-220814"
2186,0.1458,0.147216796875,100.0,0.0005,표시광고,OOD,"미국, 식물성 식품 제조업체들은 생선을 예의 주시 하는 중 최근 버거킹과 레드 로빈이 임파서블 버거를 메뉴에 추가한 식당 체인점이라는 뉴스를 통해 식물성 고기 대안 관련 내용이 주목을 받고 있음. 굿푸드연구소가 집계한 자료에 따르면, 해산물 스타일의 제품들은 작년에 전체 식물성 고기 판매의 약 1.4%에 불과했지만, 그 비율은 시장에 새로운 제품들이 출시되며 증가할 수 있음.  유엔식량농업기구에 따르면, 전 세계적으로 생선 소비량은 50년가량의 연간 인구 증가량보다 두 배나 빠르게 증가했다고 함. 참다랑어의 강한 수요와 감소하는 공급은 식물 기반을 둔 업체들이 복제를 위해 참다랑어를 선호하게 만들었음. 식품마케팅연구소 보고서에 따르면 미국45%의 소비자들이 참다랑어를 자주 구입하는 것에생새우는 30%, 연어는 29%를 구입한다고 함. 채드와 데릭 사르노 형제와 다른 세 파트너는 참다랑어를 시작으로 식물성 해산물 대안을 개발하기 위해 굿 캐치(Good Catch)를 만들어냄. 채식주의 요리사들은 완두콩 등의 콩류에서 추출한 식물성 단백질이 냄새 없이 참다랑어의 질감과 맛을 그대로 재현하는 제품을 만들어냄. 이 제품은 많은 소비자들이 참다랑어를 선호하는 이유인 오메가-3 지방산이 들어 있는 알갈 오일(algal oil)을 함유하고 있기도 함. 상온 보관이 가능한 세 가지 맛의 참다랑어는 2월에 식료품 구독 서비스인 ‘Thrive Market’과 일부 ‘Whole Food Market’에서 판매가 시작됨. 소피의 주방(Sophie’s Kitchen) 설립자인 유진 왕은 10여년 전 딸 소피가 실수로 새우 몇 마리를 먹고 심한 알레르기 반응을 보인 후, 곤약이라고 불리는 아시아의 뿌리 채소로 만든 식물성 해산물을 개발하기 시작함. 그는 2010년에 이 회사를 설립했고 오늘날에는 베간투나(VeganToona)라는 참다랑어 제품과 함께 식물성 냉동 생선 필레, 새우, 게, 연어 등을 판매하고 있음."
1144,0.1458,0.147216796875,100.0,0.0005,안전위생,OOD,"인도, 마가린을 버터로 둔갑시켜 사용하는 사기 성행 최근 인도 식품업계에서 마가린이 버터로 둔갑해 사용되는 경우가 만연하다는 사실이 확인된 이후, 인도 식품안전기준청(FSSAI)의 규제 비효율이 다시 문제시되고 있음.  얼마 전 니틴 가드카리 연방장관이 인도 총리에 보낸 서한 내용에 따르면, 식품의 제조·가공에 버터 대신 마가린을 사용하는 편법이 만연해 있음. 연방장관은 식품안전기준청이 마가린의 유해성을 검토하여 다른 국가들처럼 그 사용을 금지 또는 제한해야 한다고 주장했음. 장관은 ""버터 대신 마가린을 사용하고 이를 표시하지 않는 것은 소비자의 권리를 침해하는 것이며, 낙농업에도 부정적인 영향을 미친다""고 밝혔음. 한편 인도 식품안전기준청은 마가린의 유해성에 대해 마가린의 트랜스지방 비율을 5% 이하로 제한하고 있고 2021년까지 그 비율을 3%, 2022년까지 2%로 줄일 것이라고 밝혔음. 또 마가린을 '유사 유제품'으로 규정하고 마가린 사용 제품에는 유제품이 아니라는 문구를 의무적으로 표시하도록 관련 규정을 개정하고 있다고 밝혔음."
1491,0.1458,0.147216796875,100.0,0.0005,화학적 위해요소,OOD,"[회수]영국 Loch Lomond Brewery, 탄산가스 과다 주입으로 에일 제품 3종 회수 -일시 : 2019.7.19.-지역 : 영국 Lidl 독점 판매-제품명 : 사용권장기한 2020년 6월, 배치코드 100619 동일1) Citra Kind of Magic 4.0% APA2) Lost in Mosaic 5.0% IPA3) Red or Dead 4.5% IPA  440ml-회수사 : Loch Lomond Brewery-회수사유 : 탄산가스 과다 주입에 따라 개봉 시 캔이 터지며 열릴 가능성 있음-제품사진 : 원문참조"
2126,0.1459,0.147216796875,100.0,0.0005,물리적 위해요소,OOD,"뉴질랜드 일차산업부, 우윳빛의 도미 샘플 검사했으며 식품 안전성 문제 확인되지 않아 뉴질랜드 비영리단체인 레가시(LegaSea)는 페이스북에 낚시꾼들로부터 우윳빛 어육의 물고기(finfish)와 도미(snapper)를 잡았다는 보고를 여러 건 받았으며, 이 물고기를 만지거나 먹었을 때의 위험성에 대해 우려하고 있다고 게시했음.  뉴질랜드 수산청(Fisheries New Zealand) 대변인은 하우라키만(Hauraki Gulf)과 노스랜드(Northland) 동부 지역에서 나타나는 것으로 보인다고 함. ""뉴질랜드 일차산업부(MPI)는 우윳빛 어육의 물고기 샘플을 검사했고 식품 안전성 위험에 대한 증거가 확인되지 않았다. 그리고 관련된 질병보고가 없다""고 함. ""예방 차원으로, MPI는 지속적으로 모니터링할 것이며 추가적인 검사를 실시할 것이다. 식품 안전성 문제가 확인되면, MPI는 대중을 보호하고 알리기 위해 조치를 취할 것이다""고 함. 수산청은 ▲먹이 공급원, ▲기후, ▲환경적/생태계적 상황 등이 영향을 줄 수 있는지 여부와 함께, 우윳빛을 띄는 원인을 규명하기 위해 노력하고 있음."
10,0.146,0.147216796875,100.0,0.0005,화학적 위해요소,OOD,"뉴질랜드 오클랜드 보건소, Hello Fresh의 회수 식품 섭취로 21명 식중독에 걸려 *관련 기수집정보- [회수]뉴질랜드 HelloFresh New Zealand Ltd, 히스타민 함량 증가로 전갱이 필렛 회수(수집일자: 2020-11-10)- 뉴질랜드 오클랜드 보건소, Hello Fresh의 회수 식품 섭취로 12명 이상 식중독에 걸려(수집일자: 2020-11-12) Hello Fresh 제품의 부패한 상선을 먹은 후 식중에 걸린 사람들에 대한 상세 내용이 공개되었음. 최근 수치는 현재 뉴질랜드의 여러 보건소에 보고된 히스타민(스콤브로이드) 식중독 사례가 21건임을 보여줌. 보건부는 수요일을 기준으로, Capital  Coast District Health Board 지역에서 9명, Waikato에서 5명, Hutt Valley에서 5명, MidCentral DHB 지역에서 2명의 사례가 발생하였다고 함."
1503,0.146,0.147216796875,100.0,0.0005,영양건강,OOD,"미국 식품의약품청, Revive Superfoods(사) 제품 섭취한 소비자의 급성 간부전 보고에 대한 조사 진행 중 미국 식품의약품청(FDA)은 Revive Superfoods(사)의 제품을 섭취한 이후 급성 간부전을 겪었다고 밝힌 사람들의 불만 사례를 조사하고 있음. FDA는 이미 Daily Harvest(사)에 대한 조사를 진행하고 있으며 이제는 Revive Superfoods도 조사하고 있다고 밝혔음. Vincent Carrotozzolo는 6월에 간 효소 증가로 입원하였고 급성 간부전을 경계하고 있다고 함.  그는 Revive Superfoods의 스무디(베리스무디, 망고파인애플스무디)를 섭취했었다고 하며, 최근 Daily Harvest(사)의 French Lentil + Leek crumbles 제품 회수와 소비자들의 만성 간부전 문제의 원인으로 타라분말이 지목되었음을 들었다고 함. 또한 그는 타라 단백질이 Revive Superfoods의 망고파인애플스무디(Mango and Pineapple smoothies)의 성분임을 알게 되었음. Revive Superfoods는 망고파인애플스무디에 대한 병원균, 독소, 알레르기 유발성분 검사 결과가 음성이었다고 밝혔음. 캐나다 식품검사청과 FDA는 현재 조사 진행 중이라고 밝혔음."
1707,0.146,0.147216796875,100.0,0.0005,영양건강,OOD,"미국 Amazon(사)&eBay(사), 미국 10대의 사망과 관련된 토르티야 칩 제품은 판매하지 않을 것 * 기수집정보1) 미국, '원칩 챌린지'로 10대 사망...Paqui(사)는 해당 제품 매장 철수하기로(수집일자: 2023-09-09)2) 미국 Paqui(사), '원칩 챌린지' 제품은 캐나다와 미국에서 철수 중(수집일자: 2023-09-09) 미국 Amazon(사)와 eBay(사)는 미국의 10대 사망과 관련된 매운 토르티야 칩을 판매하지 않기로 함. 이는 미국에서 판매가 중단되었으나, 글로벌 판매자들이 수입한 제품은 여전히 판매 중임. BBC Newsbeat가 Amazon(사)에 연락한 이후, Amazon(사)는 미국, 영국, 유럽, 중동 및 아프리카 사이트에서 해당 제품을 삭제할 것이라고 밝혔음. 또한 온라인 소매업체는 최근에 해당 제품을 구매한 해외 구매자에게 연락하여 이를 알릴 계획임. eBay(사)의 대변인은 이용자의 안전이 “최우선”이고 판매 목록을 삭제하였다고 밝혔으며, “우리는 사이트를 면밀히 모니터링하고 있으며, 목록이 나타나면 삭제할 것이다.”라고 덧붙였음."
36,0.146,0.147216796875,100.0,0.0005,영양건강,OOD,"미국 펜실베니아주 하원, 통학버스 운전수의 알레르기 처방 법안 통과 미국 펜실베니아주 하원은 지난 주, 학생 건강 및 안전 법안(Student Health and Safety Bill)을 통과시켰음. 입안자 저스틴 시몬스는 학교통학버스 운전수가 알레르기 반응을 겪고 있는 학생에게 주사형 의약품인 에피네프린(epinephrine)을 투여하는 것을 허용하는 법안을 작성했음.    시몬스의 법안은 버스 운전수가 최초로 주 보건부가 제공할 교육 프로그램을 이수할 것을 요구함. 또한 운전수는 에피네프린을 사용하기 위해 학군 지침을 준수할 것이 요구됨. 에피네프린 사용에 적용되는 버스 운전수에게는 시 특혜가 제공될 것임. 현재 미국내 다른 학군에서는 운전수가 에피네프린을 사용하는 것을 허용하고 있으나 일부 운전수들은 소송에 대한 우려로 탑승한 학생들에게 에피네프린을 사용하는 것을 주저하기도 함. 시몬스는 상원 위원회의 법안 표결을 기다리고 있으나 아직 위원회에 상정되지는 않았다고 밝혔음."
