split,ood_tag,method,threshold,score,true_label,pred_label,text
ID,ood_csv_ood_data,maha,-9827.423779,-28417.205078,영양건강,영양건강,"[E/R]미국 Abbott Laboratories, 미숙아에게 심각한 부작용 우려로 프로바이오틱스 회수 -지역: 미국 Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, Mississippi, Montana, North Carolina, North Dakota, Nebraska, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Washington, Wisconsin, West Virginia-제품명: Similac Probiotic Tri-Blend - 0.017oz (0.50g) (호일 포장, 상자 당 50개입, 케이스 당 3상자. Lot No. 45002IP, 제품 No. 67397, Best By 09/01/24)-회수사: Abbott Laboratories (회수중, 회수일: 10/31/2023)-회수사유: 미숙아에게 심각한 부작용"
ID,ood_csv_ood_data,maha,-9827.423779,-22954.994141,영양건강,영양건강,"싱가포르, 식품 중 당류 저감화 계획 수립 중 싱가포르 보건진흥위원회(HPB)가 식품 제조업체와 외식업소를 대상으로 식품 중 당류 저감화를 위한 지침을 마련 중임. 보건진흥위원회는 쌀이나 면, 사탕수수같이 정제된 탄수화물이 전체 탄수화물 섭취량의 절반을 넘어섰고, 전체 탄수화물을 통한 당류 섭취량 22% 가량을 17%까지 저감화시킬 예정이라고 말했음. 이 외에도 사탕수수를 건강에 좋은 대체원으로 바꾸는 방법도 모색 중인데 정제당을 과일과 채소에서 자연적으로 얻은 이소말툴로오스나 알루로오스처럼 신소재 당류로 부분 대체하는 방안을 이상적으로 보고 있음. 이 외에도 디저트의 당분을 이눌린이나 올리고과당 등의 식물성 식이섬유로 바꾸고, 외식업소들도 이러한 대체당을 활용하는 방법도 생각 중임. 그러나 식품 중 당류를 바꾸는 일은 식품의 화학 조성에 영향을 주어 풍미와 질감도 좌우될 수 있음. 한편, 싱가포르 보건부는 지난 10월 중순, 보건진흥위원회 및 산업체와 음료 중 당류 함량을 논의하는 자리를 가진 바 있으며, 이후 식음료 7대 대기업이 2020년까지 가당음료 당류 12%로 저감화하겠다는 발표를 내놓기도 했음. 더 나아가 싱가포르 정부는 한층 건강하고 당류 함량이 적은 음료를 모든 정부 기관에서 판매하는 범정부 건강 음료 정책을 펼치기도 했음."
ID,ood_csv_ood_data,maha,-9827.423779,-12045.233398,영양건강,화학적 위해요소,"미국 펜실베니아주 하원, 통학버스 운전수의 알레르기 처방 법안 통과 미국 펜실베니아주 하원은 지난 주, 학생 건강 및 안전 법안(Student Health and Safety Bill)을 통과시켰음. 입안자 저스틴 시몬스는 학교통학버스 운전수가 알레르기 반응을 겪고 있는 학생에게 주사형 의약품인 에피네프린(epinephrine)을 투여하는 것을 허용하는 법안을 작성했음.    시몬스의 법안은 버스 운전수가 최초로 주 보건부가 제공할 교육 프로그램을 이수할 것을 요구함. 또한 운전수는 에피네프린을 사용하기 위해 학군 지침을 준수할 것이 요구됨. 에피네프린 사용에 적용되는 버스 운전수에게는 시 특혜가 제공될 것임. 현재 미국내 다른 학군에서는 운전수가 에피네프린을 사용하는 것을 허용하고 있으나 일부 운전수들은 소송에 대한 우려로 탑승한 학생들에게 에피네프린을 사용하는 것을 주저하기도 함. 시몬스는 상원 위원회의 법안 표결을 기다리고 있으나 아직 위원회에 상정되지는 않았다고 밝혔음."
ID,ood_csv_ood_data,maha,-9827.423779,-37105.070312,안전위생,안전위생,"유럽집행위원회, 토양 오염 예방 관련 새로운 전략 수립을 위한 공개 의견 수렴 실시 유럽집행위원회는 토양 오염 예방을 위한 새로운 전략 개발을 위하여 온라인 공개 의견 수렴 절차(*)를 개시하였음. 건강한 토양은 기후 중립성, 생물 다양성 확보, 무공해(zero pollution), 건강하고 지속 가능한 식량 시스템 및 탄력적인 환경과 같이 유럽 그린딜(European Green Deal)이 추구하는 목표를 달성하는 데 필수적임.그러나 유럽의 토양은 지속 불가능한 관리, 과잉 착취, 기후 변화 및 오염으로 인하여 악화되고 있으며, 이러한 이유를 들어 EU 생물 다양성 전략 2030은 2021년도에 새로운 전략을 채택하겠다고 밝힌 바 있음.토양 비옥도와 유기물을 증가시키고 침식을 줄이는 방법을 강구하기위해서 시민, 단체 및 관련 이해관계자는 2021년 4월 27일까지 총 12주 동안 공개 의견 수렴에 참가하여 피드백을 제시하기 바람.(*) https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12634-Healthy-soils-new-EU-soil-strategy"
ID,ood_csv_ood_data,maha,-9827.423779,-33862.453125,안전위생,안전위생,"캐나다 밴쿠버 보건 당국, 식당서 '플라스틱 쌀' 제공했다는 루머는 낭설 중국에서 들여온 '가짜 플라스틱 쌀'이 캐나다 밴쿠버의 한 아시아 식당에서 제공되었다는 동영상이 소셜 미디어에서 회자되었음. 그러나 지역 보건 당국은 이에 대해 근거가 없다고 일축했음. '이스트 밴쿠버' 식당에서 테이크아웃한 음식에 플라스틱 쌀이 들어있다는 동영상이 유투브 사이트에 게재되면서 진위 여부가 물망에 올랐음.  이에 밴쿠버 보건부는 환경보건팀이 논란을 조사했으며, 식당에서 제공한 쌀은 승인 받은 식품 업체가 납품한 것으로 논란을 입증할 만한 근거가 없었다고 말했음. 한편, 캐나다 식품검사청은 플라스틱 쌀과 관련한 소비자 불만 사례 접수건이 없었다고 밝혔음.  '가짜 쌀' 논란은 지난달 소셜 미디어에서 불거지기 시작했으며, 나이지리아 당국은 지난 12월 가짜 쌀이 의심되는 2.5톤 분량을 압류하기도 했음. 아직 나이지리아 당국이 조사 결과를 발표하지는 않았으나 중국에서 밀수된 것으로 보고 있음."
ID,ood_csv_ood_data,maha,-9827.423779,-34348.996094,신규 위해요소,표시광고,"미국 농무부장관, 스마트폰으로 GMO 등 식품의 정보 확인 가능할 것 유전자 변형(GM) 식품에 대해 항상 까다로운 논란에 있어, 농무부 장관 탐 빌삭은 '스마트폰을 사용하라'는 아이디어를 제시함. 장관은 수요일(현지 시각), 농업부문 지출에 대한 하원 청문회에서 소비자가 식료점의 바코드를 스캔하거나 식품 포장에 붙은 다른 심볼을 스캔하는데 스마트폰을 사용할 수 있다고 의원들에게 말했음. 식품의 원료에 GMO가 포함되어 있는지 여부와 같은 모든 부류의 정보가 검색될 것임. 식품의약품청(FDA)은 대부분의 식품 포장 표시를 관할하고 있어, 장관의 아이디어는 공식적인 제안은 아님. 하지만, 장관은 자신의 제안이 GMO를 확인하는 포장 라벨을 주장하는 자와 식품 업계 간의 논란을 막을 수 있다고 제안했음. 그는 이전에도 바코드에 대한 아이디어를 언급한 바 있지만, 이에 대해 의회가 더 많이 개입되어야 현실화가 될 수 있다고 전했음.  2014년, 버몬트주에서는 GMO표시법이 통과되었고, 식품 업계들의 위헌 소송을 극복하게 되면 후년에 시행될 예정임. 전국적인 'Just Label It' 캠페인 대표인 스캇 페이버씨는 대부분의 소비자가 바코드 또는 QR 코드를 어떻게 사용하는지를 모른다고 언급하면서 장관의 아이디어에 동의하지 않았음. 이 같은 우려사항에 대해 장관은 상점 내에 스캐너를 활용할 수도 있다고 과거에 말했던 바 있음.  장관은 일부 식품업체가 이 아이디어를 수용적으로 받아들이고 있다고 전했으나 업체명은 언급하지 않았음. 한편, 이에 대해 FDA 대변인은 농무부 장관의 아이디어는 현재 FDA에서 논의가 이루어지지 않고 있다고 전했음. FDA는 유전자 변형 식품에 대한 표시를 요구하고 있지 않으며 GMO 식품이 안전하다고 밝히고 있음."
ID,ood_csv_ood_data,maha,-9827.423779,-38080.480469,물리적 위해요소,물리적 위해요소,"[E/R]미국 California Natural Products, 향과 맛이 변질된 단백질보충제 회수 -지역: 미국 FL, CO, VA, PA, NY. MI, TX, NC, AR, WI, AL, CA, OH, OR, LA, KY, UT, DE-제품명: equate High Performance Protein Shake: Chocolate, Naturally  Artificially Flavored, ready to drink; 11 FL OZ (325 mL),12 포장 케이스 단위로 판매 Case UPC: 6 81131 01580 6, Lot L180980D, Lot L180990D: 03/01/2019 및 04/01/2019-유통사: Wal-Mart, Inc. -회수사: California Natural Products (회수중, 회수일 7/20/2018)-회수사유: 향과 맛 변질 보고에 따라 두 개 로트 회수"
ID,ood_csv_ood_data,maha,-9827.423779,-19559.460938,신규 위해요소,영양건강,"미국 비영리기관 '유전교육프로젝트', 이데올로기와 기술적 장벽에 직면한 유전자 변형 황금쌀 인도, 방글라데시, 인도네시아, 필리핀과 같은 남부 및 남동 아시아국가에 있어 쌀은 일일 열량섭취량의 70%를 차지하는 주식임. 이들 대부분의 아시아 국가에서 50만명이 넘는 어린이들이 비타민 A 결핍으로 시력을 잃고 있으며 이들 중 실명에 걸린 어린이 절반은 비타민 A 결핍으로 인해 면역체계가 정상적으로 작용하지 못해 1년 내에 사망하기도 함. 이는 황금쌀 프로젝트를 주도하게된 인도주의적 위기임. 황금쌀은 비타민 A의 전구체인 베타 카로틴을 만들도록 유전적으로 디자인되었음. 네이처(Nature)지의 이번 발행판인 포괄적인 혁신 역사에서는 이 유전자 변형 쌀이 문제를 해결할 이상적인 방책으로 여겨짐에도 불구하고 황금쌀 개발은 정치적 및 기술적 문제로 인해 정체되어 있다고 전함. 네이처지에는 다음과 같은 글이 실려 있음. 온실에서 포장(field)까지 황금쌀의 여정에는 몇 가지 기술적 문제들이 뒤따라왔음. 불행하게도, 포장 검사에 선정된 황금쌀계통은 자라지 못했을 뿐 아니라 어려움에 봉착한 농민들을 설득하는데도 한계가 있었음. 과학적 문제는 해결될 수 있지만 유전자 변형 생물체(GMO)에 대한 국민들의 두러움은 커다란 장애물이 될 것임. 과학계에서 다수의 연구결과가 이러한 우려사항을 누그러뜨린다고 지적하지만, 유럽과 북아메리카의 운동단체들은 GMO의 환경학적 영향력과 건강에 대한 위험성에 우려와 의구심을 제기하면서 그 양상을 갖추어가고 있음. 한편, 환경보호단체 그린피스(Greenpeace)의 자넷 코터(Janet Cotter) 과학자는 황금쌀의 안전성에 대해 확언하기에는 시기상조라고 생각한다고 함. "
ID,ood_csv_ood_data,maha,-9827.423779,-12371.846680,안전위생,생물학적 위해요소,"미국, 식용곤충에 대한 규제 승인 필요해 코로나19 사태와 세계 식품 위기의 위협이 커짐에 따라, 유럽식품안전청(EFSA)은 곧 식용 곤충의 판매를 승인할 것으로 예상됨. 그러한 결정은 세계 식품공급에 대한 코로나19의 위협이 국가의 육류 부족을 초래할 수 있다는 점에서 미국의 식용 곤충 규제의 미래에 대한 새로운 시각을 불러일으킬 것으로 보임. 최근 코로나19로 주요 육류 공장의 폐쇄되어 미국의 육류 생산이 제한되고 있는 반면 소비자의 수요는 증가하고 있음. 코로나바이러스의 대유행은 농업 부분 및 식품 생산과 관련된 다른 부분에 대해 직접적으로 영향을 주고 있기 때문에, 식용곤충산업체의 구성원들은 유럽연합이 오랫동안 기다려온 특정 식용 곤충의 판매 승인에 대해 찬사를 보냈으며, 유럽연합의 예상된 규제가 ""눈덩이 효과""를 가져오기를 바라고 있음. 유럽연합의 승인으로 미국에 그러한 눈덩이 효과가 만들어질 수 있음. 곤충의 풍부한 단백질, 비타민 및 무기질 함량은 어류 및 육류에 비할 만하며, 코로나19 위기 동안 미국 육류 생산의 빈자리를 채울 수 있을 것임. 그러나 미국에서 식용곤충에 대한 연방 규제는 이루어지지 않고 있으며 식용 곤충은 미국 식품의약품청(FDA)의 감독 하에 있음. 그러나 FDA는 식용 곤충 규제에 관심이 집중되어 있지 않으며 오히려 곤충을 ""불순물""로 규제하고 있음. 식용 곤충에 대한 효과적 규제의 가장 큰 장벽은 FDA의 침묵임. FDA는 식품으로 이용하는 곤충에 대한 질문을 수십 년간 받아왔으나 식품원료로 규제하기 위하여 미미한 진전만이 있었음. 세계 식품 공급을 위협하는 이러한 세계 보건 위기에는 특히 식용 곤충의 잠재성이 더 시급한 규제 조치를 요구하는 것처럼 보일 수 있음."
ID,ood_csv_ood_data,maha,-9827.423779,-15831.711914,신규 위해요소,신규 위해요소,"유엔식량농업기구, '유전자편집과 식품안전' 자료 게재 유엔식량농업기구(FAO)는 '유전자편집과 식품안전: 국제식품규격위원회 작업에 대한 기술적 고려사항 및 잠재적 관련성' 자료를 게재함.(*) FAO는 '유전자편집과 농식품 시스템(2022)'에서 유전자편집 기술이 저중소득 국가 동식물 육종에 있어서 유망하고 새로운 도구가 될 수 있다고 한 바 있음.실제 유전자편집은 지속가능성과 기후변화 회복력에 기여할 뿐만 아니라 식량 생산과 품질을 높이기 위한 다양한 특성 개발에 사용될 수 있음. 그러나 모든 신기술과 마찬가지로, 규제 기관의 철저한 분석이 있어야 제품의 안전성을 알 수 있음. 이에 FAO는 이번 자료에서 식품 생산에 유전자편집을 적용할 때 발생할 수 있는 식품안전 문제에 대한 최신 검토를 하였음. 식품안전 평가를 위한 기존 국제식품규격위원회 문서의 잠재적 적용 가능성에 대한 검토 또한 담고 있음. 자료는 식품안전 관할 당국의 유전자편집 파생 제품 정책과 규제 기준 개발 및 시행을 위한 주요 고려 사항을 다룸. (*) FAO. 2023. Gene editing and food safety – Technical considerations and potential relevance to the work of Codex Alimentarius. Rome https://www.fao.org/3/cc5136en/cc5136en.pdf"
ID,ood_csv_ood_data,maha,-9827.423779,-12402.617188,안전위생,화학적 위해요소,"[회수]캐나다 La Pimenterie Inc., 내부 뚜껑 결함으로 살사 회수 - 최초 발표 일자: 2024-06-20 (최신 업데이트 일자: 2024-06-19)- 유통지역: 캐나다 Quebec- 회수사: La Pimenterie Inc.- 제품 정보: 브랜드 ; 제품 ; 크기 ; 코드 ; UPC1) MTL Gringo ; Mild Black Beans  Corn Salsa ; 435 ml ; GS-181, GS-186, GS-192, GS-195 ; 6 28678 80905 52) MTL Gringo ; Medium Black Beans  Corn Salsa ; 435 ml ; GS-182, GS-183, GS-187, GS-190, GS-196 ; 6 28678 80904 83) MTL Gringo ; Hot Black Beans  Corn Salsa ; 435 ml ; GS-184, GS-188, GS-189, GS-191 ; 6 28678 80906 24) MTL Gringo ; Mango Black Beans  Corn Salsa ; 435 ml ; GS-185, GS-193 ; 6 28678 80906 2- 회수사유: 내부 뚜껑 결함- 제품사진: -"
ID,ood_csv_ood_data,maha,-9827.423779,-10426.784180,물리적 위해요소,물리적 위해요소,"미국 FBI, GNP(사)의 닭가공품 회수 관련 직원 조사 착수 *6.18 기수집 회수정보 관련(*[회수]미국 GNP Company, 모래 등 오염 가능성으로 닭고기 가공품 회수) GNP(사)가 55,000 파운드의 닭고기 제품 회수를 유발시킨 직원을 적발했다고 오늘(현지시간), 지역언론지 ' St. Cloud Times'에 업체 대변인이 전했음. 현재 미 연방수사국(FBI)의 조사가 진행되고 있음. 6월 18일(현지시간), 미네소타주에 소재한 해당 업체는 흙 및 모래 오염 가능성으로 55,608 파운드의 닭고기 가공품 회수를 발표했음. 회수품의 대부분이 교육기관거래업체에 판매되었으나, 소비/냉동일자가 June 26인 'Just BARE Whole Chicken'이 유일하게 소매상점에서 판매되었음. 고의적으로 제품을 오염시킨 해당 직원은 해고처리되었음. 어떠한 혐의제기나 체포도 지금까지 이루어지지 않았음."
ID,ood_csv_ood_data,maha,-9827.423779,-14001.273438,안전위생,안전위생,"영국 환경식품농촌부, 국경 목표운영모델 정보와 관련한 홍보자료 안내 영국 환경식품농촌부 Defra는 그레이트브리튼(GB: 잉글랜드, 스코틀랜드, 웨일스)의 수입업자 및 EU, 아이슬란드, 리히텐슈타인, 노르웨이, 스위스 수출업자를 대상으로 국경 목표운영모델(Border Target Operating Model)과 관련한 자료들을 아래와 같이 안내함. 국경 목표운영모델은 그레이트브리튼으로 수입되는 살아있는 동물, 동물성 제품, 식물 및 식물성 제품 위생 및 식물위생 관리에 대한 새로운 접근방식을 제시함.  >국경 통제소 - 식물 및 식물 제품: https://assets.publishing.service.gov.uk/media/65859a77fc07f300128d4702/Defra_Border-Control-Posts-Plants-and-Plant-Products-Leaflet.pdf>복합식품 의사 결정 트리: https://assets.publishing.service.gov.uk/media/65859a84ed3c34000d3bfdf0/Defra_Composite-Products-Decision-Trees-Leaflet.pdf>위생증명서: https://assets.publishing.service.gov.uk/media/6585b33723b70a000d234ea5/Defra-Health-Certificates-Leaflet.pdf>IPAFFS를 사용한 수입 통지: https://assets.publishing.service.gov.uk/media/65859ab723b70a0013234e7c/Defra_Import-Notifications-using-IPAFFS-Leaflet.pdf>식물위생 인증서: https://assets.publishing.service.gov.uk/media/65859ac823b70a000d234e7f/Defra_Phytosanitary-Certificates-Leaflet.pdf"
ID,ood_csv_ood_data,maha,-9827.423779,-15931.455078,안전위생,안전위생,"호주 공영방송, 2011년부터 허브 보충제 관련해 최소 6명이 장기이식 받은 것으로 보여 호주 공영방송 'ABC'는 지난 5년간 호주에서 최소 6명이 허브 보충제를 복용한 이후에 장기이식을 받아야 했다고 보도했음. 이 방송은 장기 기증관련 자료를 통해 2011년 이후 허브 보충제 복용 이후 병을 얻은 사람에게 각각 세 건의 간 이식과 신장 이식이 이루어진 것으로 나타났다고 전했음. 이번 보도자료는 웨스트 오스트레일리아에 거주하던 한 남성이 본 방송사에 녹차와 가르시니아 캄보지아라는 열대 과일이 들어간 단백질 분말을 복용한 것이 자신의 간에 문제가 생긴 이유인 것 같다고 밝힌 것과 관련됨. 장기 기증관련 기관들은 이 자료는 장기 이식으로 이어진 개연성이 있는 근거를 의사들이 확인할 수 있어 문서화한 사례들만 언급하고 있다고 본 방송사에 전했음. 단, 이들 자료에서는 장기 손상을 일으킨 허브 보충제의 종류에 관한 것이나 질환 원인이 확실성 여부는 명시하지 않고 있음. 간 이식 전문가인 닉 새클 박사는 허브 보충제와 관련한 간부전 및 간 이식 사례를 다수 다룬 경험이 있다면서 많은 사례의 환자들이 녹차추출물을 섭취했었다고 함. 한편, 호주식품의약품안전청(TGA)은 검토 확대 일환으로 간부전 사례를 조사하고 있음. 청 대변인은 장기 기증 관련자료를 얻기 위해 관계기관과 접촉할 예정이며 보충의약품에서 특정 허브 추출물의 허용기준치를 축소 등의 조치를 포함시킬 가능성이 있다고 전했음."
ID,ood_csv_ood_data,maha,-9827.423779,-21656.578125,신규 위해요소,신규 위해요소,"영국 정부 과학고문, 상원에 유전자편집 법안 제출... 향후 10년 내 세계 식량안보 강화 기대 영국 환경식품농촌부 과학고문 헨더슨 교수(Prof Gideon Henderson)가 유전자 편집은 앞으로 10년 안에 전세계 식량안보를 획기적으로 높이고 화학비료와 살충제에 대한 의존도를 줄일 수 있다고 함. 상원에 유전자 기술 관련 법안을 제출하기 전 헨더슨 교수는 엄격한 규제 하의 유전자변형 생물(GMO)과 유전자 편집이 다르게 취급될 수 있도록 함으로써 유전자 편집 제품 개발과 상용화를 가속화하는 더 단순한 규제 프레임워크 구축을 목표로 하고 있다고 밝힘. 그는 유전자편집이 기후 위기, 해충, 질병에 더 강한 작물 생산에서부터 세계 기아 퇴치에 도움이 될 수 있는 농작물 수확량 증가에 이르기까지 수많은 이점을 가져올 수 있다고 함. 또한 비타민 D가 풍부한 토마토와 같은 영양가가 있는 작물을 만드는데 사용될 수 있음. 식품 표시는 또 다른 문제인데 법안이 통과될 경우 잉글랜드에만 적용되어 브렉시트 이후 GMO 농산물 생산 및 판매 금지를 유지하는 스코틀랜드 및 웨일스 정부와 갈등을 빚을 수 있음."
ID,ood_csv_ood_data,maha,-9827.423779,-17729.066406,표시광고,표시광고,"[E/R]미국 Keurig Dr Pepper, Inc., 포장오류로 커피 제품 회수 -지역: 미국 New York, Connecticut, Pennsylvania, Maine, Massachusetts-제품명: Newman's Own Organics, Newman's Special Decaf Medium Roast, Ground Coffee, 10 oz.(SKU: 099555395662 (bar code); Best by Date: 21 JUN 2021 및 22 JUN 2021)-회수사: Keurig Dr Pepper, Inc. (회수중, 회수일: 8/25/2020)-회수사유: Newman s Own Organics에 포장된 로스트 분쇄 커피에는 일반 비유기농 커피가 들어 있음."
ID,ood_csv_ood_data,maha,-9827.423779,-24720.328125,안전위생,안전위생,"[E/R]미국 Sea World, LLC, 어류 부패로 도미 필렛 회수 -지역: 미국 국내 전용(푸에르토리코)-제품명: Crimson Snapper Fillet, Natural Cut CO Treated, Net WT 10 LBS, 용량 10/12 oz(Lot # 04008850981, Best by Date: 11-27-2022, Item # 307353)-회수사: Sea World, LLC (회수중, 회수일: 3/22/2021)-회수사유: 어류 부패"
ID,ood_csv_ood_data,maha,-9827.423779,-10790.688477,안전위생,안전위생,"유럽집행위원회, 유럽 식량 안보 위기 준비 및 대응 매커니즘 회의 개최 유럽집행위원회는 오늘(3월 9일), 에너지 및 투입 가격 상승과 우크라이나 전쟁에 따른 식량 안보 영향과의 영향을 논의하기 위해 신설된 유럽 식량 안보 위기 준비 및 대응 매커니즘(EFSCM)(*)의 첫 회의를 가졌음.  EU 및 인접 비EU 국가의 전문가뿐 아니라 농업 및 어업인, 식품 가공업자, 무역업자, 소매업자, 소비자, 푸드 뱅크, 식품 운송 서비스 등의 대표자로 구성된 이 그룹은 2021년 11월에 팜 투 포크 전략에 따라 채택된 '위기 상황에서의 식품 공급 및 식량 안보를 위한 비상 계획(**)'을 따름. 본 회의는 불확실성의 정도를 최소화하고, 모든 수준의 대응을 조정하며, 우선순위를 신속하게 식별하기 위해 전체 식품 공급망에서 더 나은 정보 흐름을 보장하는 것을 목표로 하고 있으며, EFSCM 전문가 그룹은 식량 안보 위기에 대한 EU의 준비 태세 개선을 위해 3월 23일에 다시 모일 예정임. (*) https://ec.europa.eu/info/food-farming-fisheries/key-policies/common-agricultural-policy/market-measures/agri-food-supply-chain/contingency-plan_en(**) https://ec.europa.eu/commission/presscorner/detail/en/ip_21_5903"
ID,ood_csv_ood_data,maha,-9827.423779,-16328.625000,신규 위해요소,신규 위해요소,"유럽식품안전청, 세포배양식품 안전성 관련 과학적 평가에 대비할 것... 현재까지 안전성 평가 요청받은 사례는 없어 유럽식품안전청(EFSA)에 따르면, 세포배양육, 미생물에서 추출한 유단백 등의 잠재적 신규 식품(new foods) 배후에는 세포배양(cell culture), 조직공학(tissue engineering) 및 정밀발효(precision fermentation)의 혁신적인 신기술이 존재함. 이와 관련하여 EFSA는 2023년 5월 11일부터 12일까지 양일 간 과학 콜리키움(*)을 개최하여 주요 과학자, 유럽·국제·국가 기관의 대표, 기술기업 및 식품사업자, 소비자단체, 그리고 동 이슈에 관심이 있는 다양한 개인 및 기타 조직으로부터 의견을 모은다고 밝혔음. EFSA의 목표는 이러한 새로운 식품 기술의 안전성을 평가하기 위한 기준을 설정할 때, 모든 최신 과학 지식과 위해평가 요소를 고려하는 것이며, 이와 관련하여 생산자 및 더 넓은 사회와 소통하기를 원함.  [신기술로 생산된 식품 및 식품 원료는 안전한가]세포배양 및 조직공학과 같은 신기술을 사용한 식품을 포함하여 신소재식품(novel foods)의 안전성을 평가하는 것은 EFSA의 역할임. EFSA의 신소재식품 분야 선임연구원이자 콜로키움 총괄 보고자인 Wolfgang Gelbmann은 ""지금까지 EFSA는 배양된 동물 세포에서 추출한 식품, 즉 '연구실 생산 육류(lab-grown meat)'로 일컬어지는 식품을 평가해달라는 요청을 받은 적이 없다""라며, ""그러나 EFSA는 정밀발효를 통해 생산된 몇 가지 신소재식품 원료를 평가했다""라고 말했음. 또한 ""앞으로 몇 달, 몇 년 안에 세포배양식품에 대한 신소재식품 신청서가 접수될 것으로 예상한다""며, ""따라서 EFSA는 이러한 신청이 들어올 때를 대비하기 위해 최신 과학 기술 정보를 계속해서 수집하고 있다""라고 설명하였음.  [세포배양식품의 시판은 누가 결정하는가]독립적 과학 자문 기관인 EFSA는 유럽연합(EU)의 의사결정에 관여하지 않으며 세포배양식품과 같은 새로운 식품 기술의 사용에 대해 찬성하거나 반대하지 않음. EFSA의 평가는 유럽의 소비자를 위해 해당 식품의 안전성에 대한 과학적 정보를 제공함. 신소재식품의 시판 허가 및 라벨링 요건에 대한 결정은 EU 규제 기관, 즉 EU 집행위원회와 EU 회원국이 함께 내림. 규제 당국은 소비자의 안전을 최우선으로 고려하지만, 경제· 동물복지·사회 및/또는 기타 측면도 고려하여 결정할 수 있음. EU 집행위원회는 이전에 세포 배양 기술이 공정하고, 안전하며, 건강하고, 환경적으로 지속가능한 푸드 시스템을 위한 EU의 '농장에서 식탁까지(farm to fork)' 전략의 목표를 달성하는 데 기여할 수 있는 잠재적 요소라고 밝힌 바 있음. (*) EFSA의 과학 콜리키움 27 '세포배양 식품 및 식품원료': https://www.efsa.europa.eu/en/events/efsas-scientific-colloquium-27-cell-culture-derived-foods-and-food-ingredients"
